NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,6.157086399995023,None,6.157086399995023,None,6.800994699995499,None,9.851325600000564,None,1,1.02975940000033,9.851325600000564,None,,,,,,,,,,,,,,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.01460883915414,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,10.962745999997423,None,2,0.5515556999962428,10.962745999997423,None,,,,,,,,,,,,,,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.01460883915414,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,11.587943300000916,None,3,0.42197890000534244,11.587943300000916,None,,,,,,,,,,,,,,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.01460883915414,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,12.0883257999958,None,1,1.1934079000056954,12.0883257999958,None,,,,,,,,,,,,,,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.01460883915414,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,13.358541099994909,None,2,0.5825295999966329,13.358541099994909,None,,,,,,,,,,,,,,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.01460883915414,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,14.01138820000051,None,3,0.9761545000001206,14.01138820000051,None,,,,,,,,,,,,,,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.01460883915414,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,15.074015999998664,None,1,0.08019220000278438,15.074015999998664,None,,,,,,,,,,,,,,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.01460883915414,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,15.233541000001424,None,3,0.2975243000037153,15.233541000001424,None,,,,,,,,,,,,,,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.01460883915414,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,15.629453499997908,None,2,0.7430448000013712,15.629453499997908,None,,,,,,,,,,,,,,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.01460883915414,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,16.44916060000105,None,3,0.7773505000004661,16.44916060000105,None,,,,,,,,,,,,,,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.01460883915414,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,,,,,17.323802799997793,None,1,0.5510298000008333,17.323802799997793,None,,,,,,,,,,,,,,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.01460883915414,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,,,,,17.949032999997144,None,2,0.6506001999950968,17.949032999997144,None,,,,,,,,,,,,,,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.01460883915414,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,,,,,18.67788940000173,None,None,,18.67788940000173,None,,,,,,,,,,,,,,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.01460883915414,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,19.68288780000148,None,2,2.4719158000007155,19.68288780000148,None,,,,,,,,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.01460883915414,
1,['2'],TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,10,,,,,,,,,0,0,0,0,,,,,22.168669599996065,None,,,,,,,,,,,,,25.212790799996583,None,"['1', '2']",1,"[0.8464772000006633, 1.0106990999993286]",25.212790799996583,None,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.01460883915414,
2,['1'],TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,10,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,26.309585199996945,None,"['3', '1']",1,"[-0.01645460000145249, 0.14279800000076648]",26.309585199996945,None,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.01460883915414,
