NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,DurationTrial,n,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_raw,order
1,['3'],3,TMTstop-B_1_p.png,TMTstop-B_1_p.png,TMTstop-B_1_p.png,10,1.0,1.0,1.0,0.0,3,1.5048557994887233,0.0
A,['1'],1,TMTstop-B_1_p.png,TMTstop-B_1_pfirstgreen.png,TMTstop-B_1_pfirstred.png,10,1.0,1.0,1.0,0.0,1,0.595635499805212,1.0
2,['2'],2,TMTstop-B_1_plinestimulus0.png,TMTstop-B_1_pgreenlinestimulus0.png,TMTstop-B_1_predlinestimulus0.png,10,1.0,1.0,1.0,0.0,2,0.5946471998468041,2.0
B,['3'],3,TMTstop-B_1_plinestimulus1.png,TMTstop-B_1_pgreenlinestimulus1.png,TMTstop-B_1_predlinestimulus1.png,10,1.0,1.0,1.0,0.0,3,1.566717498935759,3.0
3,['1'],1,TMTstop-B_1_plinestimulus2.png,TMTstop-B_1_pgreenlinestimulus2.png,TMTstop-B_1_predlinestimulus2.png,10,1.0,1.0,1.0,0.0,1,0.5801225993782282,4.0
C,['3'],3,TMTstop-B_1_plinestimulus3.png,TMTstop-B_1_pgreenlinestimulus3.png,TMTstop-B_1_predlinestimulus3.png,10,1.0,1.0,1.0,0.0,2,3,0.37339669931679964,0.6998926997184753,5.0
4,['1'],1,TMTstop-B_1_plinestimulus4.png,TMTstop-B_1_pgreenlinestimulus4.png,TMTstop-B_1_predlinestimulus4.png,10,1.0,1.0,1.0,0.0,1,0.472805199213326,6.0
D,['3'],3,TMTstop-B_1_plinestimulus5.png,TMTstop-B_1_pgreenlinestimulus5.png,TMTstop-B_1_predlinestimulus5.png,10,1.0,1.0,1.0,0.0,1,3,1.414131199941039,1.6852335995063186,7.0
5,['2'],2,TMTstop-B_1_plinestimulus6.png,TMTstop-B_1_pgreenlinestimulus6.png,TMTstop-B_1_predlinestimulus6.png,10,1.0,1.0,1.0,0.0,2,2.834286999888718,8.0
E,['1'],1,TMTstop-B_1_plinestimulus7.png,TMTstop-B_1_pgreenlinestimulus7.png,TMTstop-B_1_predlinestimulus7.png,10,1.0,1.0,1.0,0.0,1,0.750081199221313,9.0
6,['3'],3,TMTstop-B_1_plinestimulus8.png,TMTstop-B_1_pgreenlinestimulus8.png,TMTstop-B_1_predlinestimulus8.png,10,1.0,1.0,1.0,0.0,3,0.5745486998930573,10.0
F,['1'],1,TMTstop-B_1_plinestimulus9.png,TMTstop-B_1_pgreenlinestimulus9.png,TMTstop-B_1_predlinestimulus9.png,10,1.0,1.0,1.0,0.0,1,0.4482815992087126,11.0
7,['3'],3,TMTstop-B_1_plinestimulus10.png,TMTstop-B_1_pgreenlinestimulus10.png,TMTstop-B_1_predlinestimulus10.png,1,1.0,1.0,1.0,0.0,3,1.0698948996141553,12.0
G,['1'],1,TMTstop-B_1_plinestimulus11.png,TMTstop-B_1_pgreenlinestimulus11.png,TMTstop-B_1_predlinestimulus11.png,None,1.0,1.0,1.0,0.0,1,0.5049599995836616,13.0
8,['2'],2,TMTstop-B_1_plinestimulus12.png,TMTstop-B_1_pgreenlinestimulus12.png,TMTstop-B_1_predlinestimulus12.png,None,1.0,1.0,1.0,0.0,2,0.41719730012118816,14.0
H,['3'],3,TMTstop-B_1_plinestimulus13.png,TMTstop-B_1_pgreenlinestimulus13.png,TMTstop-B_1_predlinestimulus13.png,None,1.0,1.0,1.0,0.0,3,0.41825589910149574,15.0
9,['2'],2,TMTstop-B_1_plinestimulus14.png,TMTstop-B_1_pgreenlinestimulus14.png,TMTstop-B_1_predlinestimulus14.png,None,1.0,1.0,1.0,0.0,2,0.8502895990386605,16.0
I,['3'],3,TMTstop-B_1_plinestimulus15.png,TMTstop-B_1_pgreenlinestimulus15.png,TMTstop-B_1_predlinestimulus15.png,None,1.0,1.0,1.0,0.0,3,0.8121242001652718,17.0
10,['1'],1,TMTstop-B_1_plinestimulus16.png,TMTstop-B_1_pgreenlinestimulus16.png,TMTstop-B_1_predlinestimulus16.png,None,1.0,1.0,1.0,0.0,1,0.6824099998921156,18.0
J,['3'],3,TMTstop-B_1_plinestimulus17.png,TMTstop-B_1_pgreenlinestimulus17.png,TMTstop-B_1_predlinestimulus17.png,None,1.0,1.0,1.0,0.0,3,0.7414207989349961,19.0
11,['1'],1,TMTstop-B_1_plinestimulus18.png,TMTstop-B_1_pgreenlinestimulus18.png,TMTstop-B_1_predlinestimulus18.png,None,1.0,1.0,1.0,0.0,1,1.2482249001041055,20.0
K,['3'],3,TMTstop-B_1_plinestimulus19.png,TMTstop-B_1_pgreenlinestimulus19.png,TMTstop-B_1_predlinestimulus19.png,None,1.0,1.0,1.0,0.0,3,1.5255248993635178,21.0
12,['1'],1,TMTstop-B_1_plinestimulus20.png,TMTstop-B_1_pgreenlinestimulus20.png,TMTstop-B_1_predlinestimulus20.png,None,1.0,1.0,1.0,0.0,1,0.9759806990623474,22.0
L,['2'],2,TMTstop-B_1_plinestimulus21.png,TMTstop-B_1_pgreenlinestimulus21.png,TMTstop-B_1_predlinestimulus21.png,None,1.0,1.0,1.0,0.0,2,1.000818599946797,23.0
13,['3'],3,TMTstop-B_1_plinestimulus22.png,TMTstop-B_1_pgreenlinestimulus22.png,TMTstop-B_1_predlinestimulus22.png,None,1.0,1.0,1.0,0.0,3,0.646850099787116,24.0
None,None,None,TMTstop-B_1_plinestimulus23.png,TMTstop-B_1_pgreenlinestimulus23.png,TMTstop-B_1_predlinestimulus23.png,None,1.0,1.0,1.0,0.0,,'--',25.0

extraInfo
participant,test1
session,001
date,2023-02-16_10h43.08.153
expName,TMT_practice
psychopyVersion,2022.2.5
frameRate,60.01493177282926
