NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,6.413620399995125,None,6.413620399995125,None,7.245506199993542,None,10.295846499997424,None,1,0.7522083000003477,10.295846499997424,None,,,,,,,,,,,,,,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.33263476240248,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,11.129006199997093,None,2,0.38935960000526393,11.129006199997093,None,,,,,,,,,,,,,,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.33263476240248,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,11.61573849999695,None,3,1.5386550999974133,11.61573849999695,None,,,,,,,,,,,,,,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.33263476240248,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,13.254173499997705,None,1,1.2602141999959713,13.254173499997705,None,,,,,,,,,,,,,,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.33263476240248,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,14.587666299994453,None,2,1.6092752999975346,14.587666299994453,None,,,,,,,,,,,,,,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.33263476240248,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,16.295671899999434,None,3,0.10211900000285823,16.295671899999434,None,,,,,,,,,,,,,,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.33263476240248,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,16.46941119999974,None,1,0.05208889999630628,16.46941119999974,None,,,,,,,,,,,,,,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.33263476240248,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,16.59453379999468,None,3,0.17030869999871356,16.59453379999468,None,,,,,,,,,,,,,,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.33263476240248,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,16.851607499993406,None,2,0.7740742000023602,16.851607499993406,None,,,,,,,,,,,,,,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.33263476240248,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,17.726413099997444,None,3,0.35465869999461574,17.726413099997444,None,,,,,,,,,,,,,,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.33263476240248,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,,,,,18.156683099994552,None,1,0.3461225999999442,18.156683099994552,None,,,,,,,,,,,,,,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.33263476240248,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,,,,,18.580577199994877,None,2,0.6920098999980837,18.580577199994877,None,,,,,,,,,,,,,,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.33263476240248,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,,,,,19.351902799993695,None,None,,19.351902799993695,None,,,,,,,,,,,,,,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.33263476240248,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,20.34922319999896,None,x,0.9909833999990951,20.34922319999896,None,,,,,,,,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.33263476240248,
1,['2'],TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,10,,,,,,,,,0,0,0,0,,,,,21.355949299999338,None,,,,,,,,,,,,,24.399797099998978,None,"['1', '2']",1,"[0.8794404000000213, 1.0764246999970055]",24.399797099998978,None,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.33263476240248,
2,['1'],TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,10,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,25.566375700000208,None,"['3', '1']",1,"[0.09033720000297762, 0.2716151999993599]",25.566375700000208,None,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.33263476240248,
3,['2'],TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,10,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,25.941533099998196,None,['2'],1,[0.0034360999998170882],25.941533099998196,None,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.33263476240248,
4,['3'],TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,10,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,26.024683699994057,None,['3'],1,[0.04575910000130534],26.024683699994057,None,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.33263476240248,
5,['2'],TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,10,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,26.14329419999558,None,"['1', '2']",1,"[0.07795790000091074, 0.16586169999936828]",26.14329419999558,None,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.33263476240248,
6,['3'],TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,10,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,26.38581669999985,None,['3'],1,[0.0521833999955561],26.38581669999985,None,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.33263476240248,
7,['2'],TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,10,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,26.51082529999985,None,"['1', '2']",1,"[0.05866010000318056, 0.16238270000030752]",26.51082529999985,None,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.33263476240248,
8,['1'],TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,10,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,26.774713699996937,None,"['3', '1']",1,"[0.018433299999742303, 0.17092190000403207]",26.774713699996937,None,,001,2021_Nov_15_1402,TMTAB,2021.2.3,144.33263476240248,
