NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,5.905244400000811,None,5.905244400000811,None,6.5290870000008,None,9.631489200000942,None,1,0.43526310000015656,9.631489200000942,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,10.149144300001353,None,2,0.013257399999929476,10.149144300001353,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,10.249297300000762,None,3,0.04426400000011199,10.249297300000762,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,10.382489700001315,None,1,0.053788599998370046,10.382489700001315,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,10.5155278000002,None,2,0.003910699999323697,10.5155278000002,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,10.615837800000008,None,3,0.030436299999564653,10.615837800000008,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,10.73271620000014,None,1,0.033556899999894085,10.73271620000014,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,10.84940650000135,None,3,0.12221370000042953,10.84940650000135,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,11.066422200001398,None,2,0.089915699998528,11.066422200001398,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,11.249693699999625,None,3,0.07608589999836113,11.249693699999625,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
