NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,8.146354500000598,None,8.146354500000598,None,8.726223899997422,None,11.794053699995857,None,1,0.4578754999965895,11.794053699995857,None,,,,,,,,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,141.74183709655384,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,12.360037200007355,None,2,0.2960988999984693,12.360037200007355,None,,,,,,,,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,141.74183709655384,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,12.76282469999569,None,3,0.0036162000033073127,12.76282469999569,None,,,,,,,,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,141.74183709655384,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,12.85395590000553,None,1,0.064431799997692,12.85395590000553,None,,,,,,,,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,141.74183709655384,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,12.999933900005999,None,2,0.31851309999183286,12.999933900005999,None,,,,,,,,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,141.74183709655384,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,13.39531469999929,None,3,0.06757619998825248,13.39531469999929,None,,,,,,,,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,141.74183709655384,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,13.541525000007823,None,1,0.0516905999975279,13.541525000007823,None,,,,,,,,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,141.74183709655384,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,13.673445399996126,None,3,0.10773979999066796,13.673445399996126,None,,,,,,,,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,141.74183709655384,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,13.888768799995887,None,2,0.5152080999978352,13.888768799995887,None,,,,,,,,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,141.74183709655384,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,14.52038299999549,None,3,1.066667499995674,14.52038299999549,None,,,,,,,,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,141.74183709655384,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,,,,,15.700641799994628,None,1,0.6865260999911698,15.700641799994628,None,,,,,,,,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,141.74183709655384,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,,,,,16.478390599993872,None,2,0.4726812000008067,16.478390599993872,None,,,,,,,,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,141.74183709655384,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,,,,,17.03678840000066,None,None,,17.03678840000066,None,,,,,,,,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,141.74183709655384,
